yourlist:M202206216320BA52A5CE8FCD097CB85A53697A355200ED8	Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_UPI001570EA65	UniRef100_UPI001570EA65	Cluster: stage V sporulation protein AE	UPI001570EA65	Halobacillus sp. Marseille-Q1614	116	2709134
UniRef100_UPI001ADCB9E9	UniRef100_UPI001ADCB9E9	Cluster: stage V sporulation protein AE	UPI001ADCB9E9	Bacillus sp. 165	116	1529117
UniRef100_A0A1L8ZIX9	UniRef100_A0A1L8ZIX9	Cluster: Stage V sporulation protein AE	A0A1L8ZIX9; A0A7Z0PNM0; A0A8E2IEU8	Bacillus obstructivus; Bacillus sp. Gen3; Heyndrickxia oleronia	118	1914540; 2736284; 38875
UniRef100_A0A2C3K2B5	UniRef100_A0A2C3K2B5	Cluster: Stage V sporulation protein AE	A0A2C3K2B5	Bacillus sp. AFS029533	116	2033494
UniRef100_C6D5W3	UniRef100_C6D5W3	Cluster: Stage V sporulation protein AE	C6D5W3; A0A4R1ZZ03	Paenibacillus sp. (strain JDR-2); Paenibacillus sp. BK033	116	324057; 2512133
UniRef100_A0A229NZU3	UniRef100_A0A229NZU3	Cluster: Stage V sporulation protein AE	A0A229NZU3	Paenibacillus herberti	116	1619309
UniRef100_A0A024QDL4	UniRef100_A0A024QDL4	Cluster: Stage V sporulation protein AE	A0A024QDL4; UPI0004290157	Virgibacillus massiliensis; Virgibacillus	117	1462526; 84406
UniRef100_A0A2C1YS49	UniRef100_A0A2C1YS49	Cluster: Stage V sporulation protein AE	A0A2C1YS49	Bacillus sp. AFS037270	118	2033499
UniRef100_UPI000474586D	UniRef100_UPI000474586D	Cluster: stage V sporulation protein AE	UPI000474586D	Paenibacillus sp. OSY-SE	116	1196323
UniRef100_A0A6L3V9F8	UniRef100_A0A6L3V9F8	Cluster: Stage V sporulation protein AE	A0A6L3V9F8	Cytobacillus depressus	118	1602942
UniRef100_UPI000F82BAB6	UniRef100_UPI000F82BAB6	Cluster: stage V sporulation protein AE	UPI000F82BAB6	Brevibacillus marinus	116	2496837
UniRef100_A0A2B4LFI9	UniRef100_A0A2B4LFI9	Cluster: Stage V sporulation protein AE	A0A2B4LFI9; A0A7V7SA54	Bacillus cereus; Bacillus luti	116	1396; 2026191
UniRef100_A0A3S1BX54	UniRef100_A0A3S1BX54	Cluster: Stage V sporulation protein AE	A0A3S1BX54	Paenibacillus zeisoli	116	2496267
UniRef100_A0A0N0E9I3	UniRef100_A0A0N0E9I3	Cluster: Stage V sporulation protein AEB	A0A0N0E9I3	Bacillus sp. CHD6a	118	1643452
UniRef100_A0A3M8DW92	UniRef100_A0A3M8DW92	Cluster: Stage V sporulation protein AE	A0A3M8DW92	Brevibacillus fluminis	116	511487
UniRef100_W4VEK6	UniRef100_W4VEK6	Cluster: Stage V sporulation protein AE	W4VEK6	Gracilibacillus boraciitolerans JCM 21714	116	1298598
UniRef100_A0A5C1FJ46	UniRef100_A0A5C1FJ46	Cluster: Stage V sporulation protein AE	A0A5C1FJ46	Bacillus sp. JAS24-2	116	2217832
UniRef100_A0A1I0I369	UniRef100_A0A1I0I369	Cluster: Stage V sporulation protein AE	A0A1I0I369	Paenibacillus sp. NFR01	116	1566279
UniRef100_A0A2V3WAU7	UniRef100_A0A2V3WAU7	Cluster: Stage V sporulation protein AE	A0A2V3WAU7	Pseudogracilibacillus auburnensis	116	1494959
UniRef100_A0A2A8IR00	UniRef100_A0A2A8IR00	Cluster: Stage V sporulation protein AE	A0A2A8IR00; A0A2A8V6D2; UPI0011A35610	Bacillus cereus; Bacillus sp. AFS015896; Bacillus subtilis	116	1396; 2033487; 1423
UniRef100_UPI000377E9B1	UniRef100_UPI000377E9B1	Cluster: stage V sporulation protein AE	UPI000377E9B1	Paenibacillus massiliensis	116	225917
UniRef100_UPI000C24A074	UniRef100_UPI000C24A074	Cluster: stage V sporulation protein AE	UPI000C24A074	Bacillus alkalisoli	118	2011008
UniRef100_UPI0003815286	UniRef100_UPI0003815286	Cluster: stage V sporulation protein AE	UPI0003815286	Bacillus sp. 123MFChir2	116	1169144
UniRef100_UPI00145C7BC4	UniRef100_UPI00145C7BC4	Cluster: stage V sporulation protein AE	UPI00145C7BC4	Paenibacillus sp. PL91	116	2729538
UniRef100_A0A0B2F422	UniRef100_A0A0B2F422	Cluster: Stage V sporulation protein AEB	A0A0B2F422; W4DWT1; A0A1R1GHH6; W4BN12	Paenibacillus sp. IHB B 3415; Paenibacillus sp. FSL R7-277; Paenibacillus sp. FSL R7-0337; Paenibacillus sp. FSL R7-269	116	867080; 1227352; 1926588; 1226755
UniRef100_A0A837KRL8	UniRef100_A0A837KRL8	Cluster: Stage V sporulation protein AEB	A0A837KRL8	Brevibacillus formosus	116	54913
UniRef100_UPI0004DF8936	UniRef100_UPI0004DF8936	Cluster: stage V sporulation protein AE	UPI0004DF8936	Lysinibacillus sphaericus (Bacillus sphaericus)	119	1421
UniRef100_UPI001CD70F98	UniRef100_UPI001CD70F98	Cluster: stage V sporulation protein AE	UPI001CD70F98	Alkalihalobacillus sp. YIM B00296	117	2865834
UniRef100_UPI000360541E	UniRef100_UPI000360541E	Cluster: stage V sporulation protein AE	UPI000360541E	Effusibacillus pohliae	116	232270
UniRef100_UPI00108084B0	UniRef100_UPI00108084B0	Cluster: stage V sporulation protein AE	UPI00108084B0	Paenibacillus cymbidii	116	1639034
UniRef100_UPI001C8E7500	UniRef100_UPI001C8E7500	Cluster: stage V sporulation protein AE	UPI001C8E7500	Paenibacillus illinoisensis	116	59845
UniRef100_A0A1I1TA65	UniRef100_A0A1I1TA65	Cluster: Stage V sporulation protein AE	A0A1I1TA65	Paenibacillus catalpae	116	1045775
UniRef100_A0A6B8RU41	UniRef100_A0A6B8RU41	Cluster: Stage V sporulation protein AE	A0A6B8RU41	Paenibacillus psychroresistens	116	1778678
UniRef100_A0A542RMB3	UniRef100_A0A542RMB3	Cluster: Stage V sporulation protein AE	A0A542RMB3	Brevibacillus sp. AG162	116	2572910
UniRef100_UPI0009510967	UniRef100_UPI0009510967	Cluster: stage V sporulation protein AE	UPI0009510967	Bacillus sp. MB366	116	1663555
UniRef100_UPI0005DBFB36	UniRef100_UPI0005DBFB36	Cluster: stage V sporulation protein AE	UPI0005DBFB36	Bacillus paranthracis	116	2026186
UniRef100_UPI000CD91F55	UniRef100_UPI000CD91F55	Cluster: stage V sporulation protein AE	UPI000CD91F55	Bacillus cereus group	116	86661
UniRef100_W7RUC6	UniRef100_W7RUC6	Cluster: Stage V sporulation protein AEB	W7RUC6	Bacillus haynesii	116	1925021
UniRef100_I8ALL8	UniRef100_I8ALL8	Cluster: Spore germinant protein	I8ALL8	Fictibacillus macauensis ZFHKF-1	116	1196324
UniRef100_A0A1M7MEN4	UniRef100_A0A1M7MEN4	Cluster: Stage V sporulation protein AE	A0A1M7MEN4	Gracilibacillus kekensis	116	1027249
UniRef100_UPI001B01156D	UniRef100_UPI001B01156D	Cluster: stage V sporulation protein AE	UPI001B01156D	Paenibacillus sp. J45TS6	116	2807196
UniRef100_A0A4V1QZM9	UniRef100_A0A4V1QZM9	Cluster: Stage V sporulation protein AE	A0A4V1QZM9	Paenibacillaceae bacterium	116	2003592
UniRef100_A0A1I7KMB9	UniRef100_A0A1I7KMB9	Cluster: Stage V sporulation protein AE	A0A1I7KMB9; UPI00094491F1	Alicyclobacillus macrosporangiidus	121	392015
UniRef100_A0A1G9WQ25	UniRef100_A0A1G9WQ25	Cluster: Stage V sporulation protein AE	A0A1G9WQ25	Paenibacillus sp. yr247	116	1761880
UniRef100_UPI00178B22E1	UniRef100_UPI00178B22E1	Cluster: stage V sporulation protein AE	UPI00178B22E1	Filibacter limicola	120	34101
UniRef100_A0A7X3GH36	UniRef100_A0A7X3GH36	Cluster: Stage V sporulation protein AE	A0A7X3GH36	Paenibacillus sp. MMS18-CY102	116	2682849
UniRef100_A0A3S0KGJ8	UniRef100_A0A3S0KGJ8	Cluster: Stage V sporulation protein AE	A0A3S0KGJ8	Bacillus yapensis	118	2492960
UniRef100_UPI000C230B7F	UniRef100_UPI000C230B7F	Cluster: stage V sporulation protein AE	UPI000C230B7F	Bacillus sp. FJAT-44742	115	2014005
UniRef100_D5WQC0	UniRef100_D5WQC0	Cluster: Stage V sporulation protein AE	D5WQC0	Kyrpidia tusciae (strain DSM 2912 / NBRC 15312 / T2) (Bacillus tusciae)	116	562970
UniRef100_UPI001C8DA28C	UniRef100_UPI001C8DA28C	Cluster: stage V sporulation protein AE	UPI001C8DA28C	Mesobacillus maritimus	118	1643336
UniRef100_UPI0004266AFE	UniRef100_UPI0004266AFE	Cluster: stage V sporulation protein AE	UPI0004266AFE	Paenibacillus	116	44249
UniRef100_UPI000D10F83B	UniRef100_UPI000D10F83B	Cluster: stage V sporulation protein AE	UPI000D10F83B	Brevibacillus sp. NRRL NRS-603	116	2126351
UniRef100_UPI00019D2463	UniRef100_UPI00019D2463	Cluster: stage V sporulation protein AE	UPI00019D2463	Bacillus anthracis	116	1392
UniRef100_A0A345BV61	UniRef100_A0A345BV61	Cluster: Stage V sporulation protein AE	A0A345BV61	Salicibibacter kimchii	116	2099786
UniRef100_A0A1I6Q3T3	UniRef100_A0A1I6Q3T3	Cluster: Stage V sporulation protein AE	A0A1I6Q3T3	Bacillus sp. 103mf	116	1761751
UniRef100_A0A151Z1Y5	UniRef100_A0A151Z1Y5	Cluster: Stage V sporulation protein AEB	A0A151Z1Y5; A0A8I1DBH1	Thermoactinomyces sp. AS95; Thermoactinomyces intermedius	117	1811386; 2024
UniRef100_A0A089M1U3	UniRef100_A0A089M1U3	Cluster: Stage V sporulation protein AEB	A0A089M1U3	Paenibacillus graminis	116	189425
UniRef100_UPI0004956131	UniRef100_UPI0004956131	Cluster: stage V sporulation protein AE	UPI0004956131	Alicyclobacillus macrosporangiidus	116	392015
UniRef100_A0A1T5A5K7	UniRef100_A0A1T5A5K7	Cluster: Stage V sporulation protein AE	A0A1T5A5K7; UPI001482FC65	Lysinibacillus sp. AC-3; unclassified Lysinibacillus	121	1680467; 2636778
UniRef100_A0A4U0F8F7	UniRef100_A0A4U0F8F7	Cluster: Stage V sporulation protein AE	A0A4U0F8F7	Cohnella pontilimi	116	2564100
UniRef100_UPI0002FFFC65	UniRef100_UPI0002FFFC65	Cluster: stage V sporulation protein AE	UPI0002FFFC65	Desulfofarcimen acetoxidans	116	58138
UniRef100_UPI0012EC1F24	UniRef100_UPI0012EC1F24	Cluster: stage V sporulation protein AE	UPI0012EC1F24	Oceanobacillus sp. AG	116	2681969
UniRef100_A0A2X4WQ98	UniRef100_A0A2X4WQ98	Cluster: Stage V sporulation protein AE	A0A2X4WQ98	Lederbergia lentus (Bacillus lentus)	118	1467
UniRef100_UPI00131E3DBC	UniRef100_UPI00131E3DBC	Cluster: stage V sporulation protein AE	UPI00131E3DBC	Alteribacillus sp. YIM 98480	116	2606599
UniRef100_A0A3T1D9L7	UniRef100_A0A3T1D9L7	Cluster: Stage V sporulation protein AE	A0A3T1D9L7; UPI00102E4764	Cohnella abietis	117	2507935
UniRef100_A0A268B3C4	UniRef100_A0A268B3C4	Cluster: Stage V sporulation protein AE	A0A268B3C4; A0A2W0C0S3	Paenibacillus sp. 7523-1; Paenibacillus illinoisensis	116	2022550; 59845
UniRef100_A0A3D8PTU7	UniRef100_A0A3D8PTU7	Cluster: Stage V sporulation protein AE	A0A3D8PTU7	Oceanobacillus arenosus	116	1229153
UniRef100_A0A895Y402	UniRef100_A0A895Y402	Cluster: Stage V sporulation protein AE	A0A895Y402	Lysinibacillus fusiformis	119	28031
UniRef100_A0A4R2RKG9	UniRef100_A0A4R2RKG9	Cluster: Stage V sporulation protein AE	A0A4R2RKG9	Heliophilum fasciatum	117	35700
UniRef100_UPI00047C4690	UniRef100_UPI00047C4690	Cluster: stage V sporulation protein AE	UPI00047C4690	Bacillus sp. UNC438CL73TsuS30	118	1340434
UniRef100_UPI0011E91805	UniRef100_UPI0011E91805	Cluster: stage V sporulation protein AE	UPI0011E91805	Bacillus altitudinis	116	293387
UniRef100_A0A5D4KKF6	UniRef100_A0A5D4KKF6	Cluster: Stage V sporulation protein AE	A0A5D4KKF6; A0A5D4U854	Rossellomorea vietnamensis; Rossellomorea aquimaris	118	218284; 189382
UniRef100_A0A2A8MET9	UniRef100_A0A2A8MET9	Cluster: Stage V sporulation protein AE	A0A2A8MET9	Bacillus sp. AFS001701	116	2033480
UniRef100_UPI0004A0887A	UniRef100_UPI0004A0887A	Cluster: stage V sporulation protein AE	UPI0004A0887A	Bacillus	116	1386
UniRef100_A0A0J6EHR6	UniRef100_A0A0J6EHR6	Cluster: Stage V sporulation protein AE	A0A0J6EHR6; A0A544UVA4; A0A291BJ05; C0ZC69; J3A338	Brevibacillus brevis (Bacillus brevis); Lysinibacillus sp. SDF0063; Brevibacillus brevis X23; Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599); Brevibacillus sp. BC25	116	1393; 2133753; 1200792; 358681; 1144308
UniRef100_A0A6N7R665	UniRef100_A0A6N7R665	Cluster: Stage V sporulation protein AE	A0A6N7R665	Gracilibacillus thailandensis	116	563735
UniRef100_UPI001CD37F1C	UniRef100_UPI001CD37F1C	Cluster: stage V sporulation protein AE	UPI001CD37F1C	Bacillus infantis	118	324767
UniRef100_A0A6I7F7Z1	UniRef100_A0A6I7F7Z1	Cluster: Stage V sporulation protein AE	A0A6I7F7Z1	Bacillus sp. NSP9.1	116	1071078
UniRef100_A0A268SD48	UniRef100_A0A268SD48	Cluster: Stage V sporulation protein AE	A0A268SD48	Paenibacillus sp. 7516	116	2022549
UniRef100_A0A1B9B1G0	UniRef100_A0A1B9B1G0	Cluster: Stage V sporulation protein AE	A0A1B9B1G0; A0A5J6XLT5	Bacillus sp. FJAT-27986; Pradoshia sp. D12	118	1743146; 2651284
UniRef100_UPI000784A14E	UniRef100_UPI000784A14E	Cluster: stage V sporulation protein AE	UPI000784A14E	Bacillus sp. JCM 19034	116	1481928
UniRef100_UPI001588B02F	UniRef100_UPI001588B02F	Cluster: stage V sporulation protein AE	UPI001588B02F	Bacillus sp. Marseille-Q1617	118	2736887
UniRef100_A0A329L191	UniRef100_A0A329L191	Cluster: Stage V sporulation protein AE	A0A329L191	Paenibacillus sp. YN15	116	1742774
UniRef100_UPI001B2667A5	UniRef100_UPI001B2667A5	Cluster: stage V sporulation protein AE	UPI001B2667A5	Paenibacillus montaniterrae	116	429341
UniRef100_UPI000B3B158D	UniRef100_UPI000B3B158D	Cluster: stage V sporulation protein AE	UPI000B3B158D	Paenibacillus	116	44249
UniRef100_A0A0K9YR69	UniRef100_A0A0K9YR69	Cluster: Stage V sporulation protein AEB	A0A0K9YR69	Brevibacillus reuszeri	116	54915
UniRef100_C6PWB6	UniRef100_C6PWB6	Cluster: Stage V sporulation protein AE	C6PWB6	Clostridium carboxidivorans P7	117	536227
UniRef100_A0A345PFZ3	UniRef100_A0A345PFZ3	Cluster: Stage V sporulation protein AE	A0A345PFZ3	Oceanobacillus zhaokaii	116	2052660
UniRef100_A0A2B9Q1C7	UniRef100_A0A2B9Q1C7	Cluster: Stage V sporulation protein AE	A0A2B9Q1C7	Bacillus cereus	116	1396
UniRef100_A0A4Q9TLQ8	UniRef100_A0A4Q9TLQ8	Cluster: Stage V sporulation protein AE	A0A4Q9TLQ8	Lysinibacillus sp. OL1	121	2517243
UniRef100_UPI001AD6BFC1	UniRef100_UPI001AD6BFC1	Cluster: stage V sporulation protein AE	UPI001AD6BFC1	Paenibacillus sp. MWE-103	116	1172618
UniRef100_A0A2G6QJR9	UniRef100_A0A2G6QJR9	Cluster: Stage V sporulation protein AE	A0A2G6QJR9	Bacillus fungorum	116	2039284
UniRef100_A0A5C8M6X8	UniRef100_A0A5C8M6X8	Cluster: Stage V sporulation protein AE	A0A5C8M6X8	Paenibacillus sp. N3.4	116	2603222
UniRef100_A0A0K9M9U1	UniRef100_A0A0K9M9U1	Cluster: Stage V sporulation protein AEB	A0A0K9M9U1	Bacillus sp. FJAT-27238	116	1679167
UniRef100_A0A1G9UYF6	UniRef100_A0A1G9UYF6	Cluster: Stage V sporulation protein AE	A0A1G9UYF6	Paenibacillus jilunlii	116	682956
UniRef100_A0A1D3MRZ3	UniRef100_A0A1D3MRZ3	Cluster: Stage V sporulation protein AE	A0A1D3MRZ3	Bacillus mycoides	116	1405
UniRef100_A0A5Q2N1J3	UniRef100_A0A5Q2N1J3	Cluster: Stage V sporulation protein AE	A0A5Q2N1J3	Heliorestis convoluta	117	356322
UniRef100_A0A7C8GW59	UniRef100_A0A7C8GW59	Cluster: Stage V sporulation protein AE	A0A7C8GW59	Gracilibacillus oryzae	116	1672701
UniRef100_A0A2N0Z7T6	UniRef100_A0A2N0Z7T6	Cluster: Stage V sporulation protein AE	A0A2N0Z7T6	Niallia nealsonii	118	115979
UniRef100_A0A7V7RP73	UniRef100_A0A7V7RP73	Cluster: Stage V sporulation protein AE	A0A7V7RP73	Bacillus mesophilum	118	1071718
UniRef100_A0A1B9ATW6	UniRef100_A0A1B9ATW6	Cluster: Stage V sporulation protein AE	A0A1B9ATW6	Bacillus wudalianchiensis	118	1743143
UniRef100_A0A2P7VKY0	UniRef100_A0A2P7VKY0	Cluster: Stage V sporulation protein AE	A0A2P7VKY0	Brevibacillus fortis	116	2126352
UniRef100_A0A0Q3WNV8	UniRef100_A0A0Q3WNV8	Cluster: Stage V sporulation protein AEB	A0A0Q3WNV8	Brevibacillus choshinensis	116	54911
UniRef100_A0A366XPE5	UniRef100_A0A366XPE5	Cluster: Stage V sporulation protein AE	A0A366XPE5	Bacillus taeanensis	118	273032
UniRef100_A0A2T4Z7A3	UniRef100_A0A2T4Z7A3	Cluster: Stage V sporulation protein AE	A0A2T4Z7A3	Desmospora activa DSM 45169	116	1121389
UniRef100_UPI00195CBBE4	UniRef100_UPI00195CBBE4	Cluster: stage V sporulation protein AE	UPI00195CBBE4	Desulfohalotomaculum tongense	117	1216062
UniRef100_UPI000B9A7883	UniRef100_UPI000B9A7883	Cluster: stage V sporulation protein AE	UPI000B9A7883; UPI001F54F967	Brevibacillus; Brevibacillus laterosporus (Bacillus laterosporus)	117	55080; 1465
UniRef100_A0A4R3L430	UniRef100_A0A4R3L430	Cluster: Stage V sporulation protein AE	A0A4R3L430	Hazenella coriacea	118	1179467
UniRef100_UPI0006D59DDE	UniRef100_UPI0006D59DDE	Cluster: stage V sporulation protein AE	UPI0006D59DDE	Numidum massiliense	116	1522315
UniRef100_UPI000365A09B	UniRef100_UPI000365A09B	Cluster: stage V sporulation protein AE	UPI000365A09B	Paenibacillus fonticola	116	379896
UniRef100_A0A2B2LMK5	UniRef100_A0A2B2LMK5	Cluster: Stage V sporulation protein AE	A0A2B2LMK5	Bacillus cereus	116	1396
UniRef100_UPI0007401715	UniRef100_UPI0007401715	Cluster: stage V sporulation protein AE	UPI0007401715	Alkalihalobacillus shacheensis	116	1649580
UniRef100_A0A154BMV4	UniRef100_A0A154BMV4	Cluster: Stage V sporulation protein AEB	A0A154BMV4; UPI001E519720	Anaerosporomusa subterranea	117	1794912
UniRef100_A0A1B8WIU0	UniRef100_A0A1B8WIU0	Cluster: Stage V sporulation protein AE	A0A1B8WIU0	Bacillus sp. FJAT-26390	116	1743142
UniRef100_A0A177ZIC0	UniRef100_A0A177ZIC0	Cluster: Stage V sporulation protein AEB	A0A177ZIC0; A0A0Q9YIW1	Lederbergia galactosidilyticus; Virgibacillus soli	118	217031; 480284
UniRef100_A0A7W5C9E5	UniRef100_A0A7W5C9E5	Cluster: Stage V sporulation protein AE	A0A7W5C9E5	Paenibacillus endophyticus	116	1294268
UniRef100_A0A2K9J4I4	UniRef100_A0A2K9J4I4	Cluster: SpoVA protein	A0A2K9J4I4	Virgibacillus dokdonensis	116	302167
UniRef100_S0FLE6	UniRef100_S0FLE6	Cluster: Stage V sporulation protein AE	S0FLE6	Ruminiclostridium cellobioparum subsp. termitidis CT1112	117	1195236
UniRef100_A0A0A3HTT1	UniRef100_A0A0A3HTT1	Cluster: Stage V sporulation protein AEB	A0A0A3HTT1	Ureibacillus sinduriensis BLB-1 = JCM 15800	122	1384057
UniRef100_A0A2A9A5S9	UniRef100_A0A2A9A5S9	Cluster: Stage V sporulation protein AE	A0A2A9A5S9	Bacillus cereus	116	1396
UniRef100_A0A292YSV8	UniRef100_A0A292YSV8	Cluster: Stage V sporulation protein AE	A0A292YSV8	Effusibacillus lacus	116	1348429
UniRef100_A0A5Q2THL0	UniRef100_A0A5Q2THL0	Cluster: Stage V sporulation protein AE	A0A5Q2THL0	Gracilibacillus salitolerans	116	2663022
UniRef100_A0A4R1AVZ8	UniRef100_A0A4R1AVZ8	Cluster: Stage V sporulation protein AE	A0A4R1AVZ8	Cytobacillus praedii	118	1742358
UniRef100_A0A2S5H1U6	UniRef100_A0A2S5H1U6	Cluster: Stage V sporulation protein AE	A0A2S5H1U6; UPI001EF803CA	Brevibacillus laterosporus (Bacillus laterosporus)	117	1465
UniRef100_K6DKH6	UniRef100_K6DKH6	Cluster: Stage V sporulation protein AE	K6DKH6	Neobacillus bataviensis LMG 21833	118	1117379
UniRef100_A0A1G8JF81	UniRef100_A0A1G8JF81	Cluster: Stage V sporulation protein AE	A0A1G8JF81	Natribacillus halophilus	116	549003
UniRef100_UPI001AEE7C57	UniRef100_UPI001AEE7C57	Cluster: stage V sporulation protein AE	UPI001AEE7C57	Bacillus sp. REN3	118	2802440
UniRef100_UPI000995B752	UniRef100_UPI000995B752	Cluster: stage V sporulation protein AE	UPI000995B752	Bacillus cereus	116	1396
UniRef100_A0A0U2L9R3	UniRef100_A0A0U2L9R3	Cluster: Stage V sporulation protein AEB	A0A0U2L9R3	Paenibacillus sp. 32O-W	116	1695218
UniRef100_UPI000479DDEE	UniRef100_UPI000479DDEE	Cluster: stage V sporulation protein AE	UPI000479DDEE	Alicyclobacillus pomorum	116	204470
UniRef100_A0A0Q3QL71	UniRef100_A0A0Q3QL71	Cluster: Stage V sporulation protein AEB	A0A0Q3QL71; A0A0M0X6U3	Cytobacillus solani; Bacillus sp. FJAT-21945	118	1637975; 1581033
UniRef100_UPI001CF933C1	UniRef100_UPI001CF933C1	Cluster: stage V sporulation protein AE	UPI001CF933C1	Bacillus stratosphericus	116	293386
UniRef100_UPI000B4B5DDC	UniRef100_UPI000B4B5DDC	Cluster: stage V sporulation protein AE	UPI000B4B5DDC	Bacillus cereus	116	1396
UniRef100_A0A1Q9Q5H6	UniRef100_A0A1Q9Q5H6	Cluster: Stage V sporulation protein AE	A0A1Q9Q5H6	Bacillus sp. MRMR6	118	1928617
UniRef100_UPI0018762E3F	UniRef100_UPI0018762E3F	Cluster: stage V sporulation protein AE	UPI0018762E3F	Cytobacillus luteolus	118	682179
UniRef100_A0A1H4J269	UniRef100_A0A1H4J269	Cluster: Stage V sporulation protein AE	A0A1H4J269; UPI000B8705A5	Paenibacillus sp. GP183	118	1882751
UniRef100_A0A7W5AVA1	UniRef100_A0A7W5AVA1	Cluster: Stage V sporulation protein AE	A0A7W5AVA1	Paenibacillus phyllosphaerae	116	274593
UniRef100_A0A0D3VIG6	UniRef100_A0A0D3VIG6	Cluster: Stage V sporulation protein AEB	A0A0D3VIG6	Paenibacillus sp. IHBB 10380	116	1566358
UniRef100_A0A7Y8RUX7	UniRef100_A0A7Y8RUX7	Cluster: Stage V sporulation protein AE	A0A7Y8RUX7; M5PA02; A0A6I7T3V5; UPI001F511FCF	Bacillus sp.; Bacillus sonorensis L12; Bacillus paralicheniformis; Bacillus sonorensis	116	1409; 1274524; 1648923; 119858
UniRef100_UPI00110CD593	UniRef100_UPI00110CD593	Cluster: stage V sporulation protein AE	UPI00110CD593	Paenibacillus sinopodophylli	116	1837342
UniRef100_A0A4Y8Q4V1	UniRef100_A0A4Y8Q4V1	Cluster: Stage V sporulation protein AE	A0A4Y8Q4V1	Paenibacillus athensensis	116	1967502
UniRef100_A0A243GEJ8	UniRef100_A0A243GEJ8	Cluster: Stage V sporulation protein AE	A0A243GEJ8	Bacillus thuringiensis subsp. finitimus	116	29337
UniRef100_A0A0V8HI32	UniRef100_A0A0V8HI32	Cluster: Stage V sporulation protein AE	A0A0V8HI32; A0A8A4JRT3; A0A8E8F6F7	Bacillus enclensis; Bacillus sp. V3; Bacillus haikouensis	118	1402860; 2795526; 1510468
UniRef100_UPI00078847F6	UniRef100_UPI00078847F6	Cluster: stage V sporulation protein AE	UPI00078847F6	Alkalihalobacillus clausii (Bacillus clausii)	116	79880
UniRef100_V5MEV9	UniRef100_V5MEV9	Cluster: Uncharacterized protein	V5MEV9	Bacillus thuringiensis YBT-1518	116	529122
UniRef100_UPI00168C0023	UniRef100_UPI00168C0023	Cluster: stage V sporulation protein AE	UPI00168C0023	Peribacillus faecalis	118	2772559
UniRef100_UPI001CA77BB7	UniRef100_UPI001CA77BB7	Cluster: stage V sporulation protein AE	UPI001CA77BB7	Bacillus sp. YC2	116	2861287
UniRef100_UPI001BD1272B	UniRef100_UPI001BD1272B	Cluster: stage V sporulation protein AE	UPI001BD1272B; UPI001A95EA7C	Mesobacillus boroniphilus; Telluribacter sp. SYSU D00476	118	308892; 2811430
UniRef100_A0A7V7I3E9	UniRef100_A0A7V7I3E9	Cluster: Stage V sporulation protein AE	A0A7V7I3E9	Bacillus sp. BB51/4	116	2217819
UniRef100_A0A7I8DB47	UniRef100_A0A7I8DB47	Cluster: Stage V sporulation protein AE	A0A7I8DB47	Effusibacillus dendaii	116	2743772
UniRef100_A0A2I0V5H0	UniRef100_A0A2I0V5H0	Cluster: Stage V sporulation protein AE	A0A2I0V5H0; A0A0W7Y9P1; UPI00147CF1C8	Lysinibacillus fusiformis; Lysinibacillus sp. F5; Lysinibacillus	121	28031; 1700846; 400634
UniRef100_UPI001964ED76	UniRef100_UPI001964ED76	Cluster: stage V sporulation protein AE	UPI001964ED76	Bacillus pakistanensis	118	992288
UniRef100_A0A2A7HWF0	UniRef100_A0A2A7HWF0	Cluster: Stage V sporulation protein AE	A0A2A7HWF0	Bacillus cereus	116	1396
UniRef100_UPI0014922D50	UniRef100_UPI0014922D50	Cluster: stage V sporulation protein AE	UPI0014922D50	Paenibacillus foliorum	116	2654974
UniRef100_A0A2C6MIR8	UniRef100_A0A2C6MIR8	Cluster: Stage V sporulation protein AEB	A0A2C6MIR8	Desulfotomaculum profundi	117	1383067
UniRef100_UPI001553EBD2	UniRef100_UPI001553EBD2	Cluster: stage V sporulation protein AE	UPI001553EBD2	Bacillus haikouensis	118	1510468
UniRef100_A0A2B4FQP2	UniRef100_A0A2B4FQP2	Cluster: Stage V sporulation protein AE	A0A2B4FQP2	Bacillus sp. AFS059628	116	2033508
UniRef100_UPI0013E06D20	UniRef100_UPI0013E06D20	Cluster: stage V sporulation protein AE	UPI0013E06D20	Virgibacillus doumboii	116	2697503
UniRef100_UPI001491BC79	UniRef100_UPI001491BC79	Cluster: stage V sporulation protein AE	UPI001491BC79	Paenibacillus plantarum	116	2654975
UniRef100_UPI0005517C0A	UniRef100_UPI0005517C0A	Cluster: stage V sporulation protein AE	UPI0005517C0A	Cohnella panacarvi	116	400776
UniRef100_UPI0008252091	UniRef100_UPI0008252091	Cluster: stage V sporulation protein AE	UPI0008252091	Gracilibacillus timonensis	116	1816696
UniRef100_UPI001781E700	UniRef100_UPI001781E700	Cluster: stage V sporulation protein AE	UPI001781E700	Paenibacillus sp. Sa2BVA9	116	2762232
UniRef100_A0A5D0CVG2	UniRef100_A0A5D0CVG2	Cluster: Stage V sporulation protein AE	A0A5D0CVG2	Paenibacillus faecis	116	862114
