Cluster ID	Cluster name	Cluster members	Organisms	Length	Size	Organism IDs
UniRef100_A0A431W3P9	Cluster: Stage V sporulation protein AC	A0A431W3P9	Bacillus yapensis	157	1	2492960
UniRef100_UPI000B2AAF01	Cluster: stage V sporulation protein AC	UPI000B2AAF01	Anoxybacillus flavithermus	160	1	33934
UniRef100_UPI000C8278C6	Cluster: stage V sporulation protein AC	UPI000C8278C6	Bacillus massiliigabonensis	159	1	1871011
UniRef100_A0A150N6H8	Cluster: Stage V sporulation protein AC (SpoVAC)	A0A150N6H8; A0A0Q1D3P8	Geobacillus stearothermophilus (Bacillus stearothermophilus); Geobacillus sp. Sah69	159	2	1422; 1737624
UniRef100_UPI001AA6692A	Cluster: stage V sporulation protein AC	UPI001AA6692A	Clostridium polyendosporum	159	1	69208
UniRef100_A0A1I0STY8	Cluster: Stage V sporulation protein AC	A0A1I0STY8; UPI000B89E946	Parageobacillus thermantarcticus	160	2	186116
UniRef100_A0A7Y5ENJ0	Cluster: Stage V sporulation protein AC	A0A7Y5ENJ0	Cytobacillus firmus (Bacillus firmus)	159	1	1399
UniRef100_A0A0Q3VH52	Cluster: Stage V sporulation protein AC	A0A0Q3VH52; A0A0M0X6H2	Cytobacillus solani; Bacillus sp. FJAT-21945	159	2	1637975; 1581033
UniRef100_A0A2N5M2C3	Cluster: Stage V sporulation protein AC	A0A2N5M2C3	Peribacillus deserti	155	1	673318
UniRef100_A0A0A2SLG6	Cluster: Stage V sporulation protein AC	A0A0A2SLG6; A0A1V3FX04; A0A410XHI0	Anoxybacillus gonensis; Anoxybacillus karvacharensis; Neobacillus thermocopriae	160	3	198467; 1919277; 1215031
UniRef100_A0A7G5C6P2	Cluster: Stage V sporulation protein AC	A0A7G5C6P2; UPI001E354AEF	Cohnella cholangitidis	175	2	2598458
UniRef100_C6IZM9	Cluster: Stage V sporulation protein AC	C6IZM9	Paenibacillus sp. oral taxon 786 str. D14	168	1	621372
UniRef100_A0A5Q2TJN9	Cluster: Stage V sporulation protein AC	A0A5Q2TJN9	Gracilibacillus salitolerans	151	1	2663022
UniRef100_A0A1G9N102	Cluster: Stage V sporulation protein AC	A0A1G9N102	Sediminibacillus halophilus	154	1	482461
UniRef100_UPI00073E37CE	Cluster: stage V sporulation protein AC	UPI00073E37CE	Paenibacillus rubinfantis	168	1	1720296
UniRef100_A0A838XFY3	Cluster: Stage V sporulation protein AC	A0A838XFY3	Brevibacillus halotolerans	159	1	1507437
UniRef100_A0A556PX61	Cluster: Stage V sporulation protein AC	A0A556PX61	Allobacillus sp. SKP2-8	148	1	1955271
UniRef100_F5L8S9	Cluster: Stage V sporulation protein AC	F5L8S9	Caldalkalibacillus thermarum (strain TA2.A1)	158	1	986075
UniRef100_UPI000FE1BD27	Cluster: stage V sporulation protein AC	UPI000FE1BD27	Paenibacillus sp. DCT19	167	1	2211212
UniRef100_UPI001CEFC2EB	Cluster: stage V sporulation protein AC	UPI001CEFC2EB	Aquibacillus sp. KHM2	160	1	1909422
UniRef100_A0A167U444	Cluster: Stage V sporulation protein AC	A0A167U444	Anoxybacillus sp. B7M1	160	1	1490057
UniRef100_UPI00110DF5C0	Cluster: stage V sporulation protein AC	UPI00110DF5C0	Paenibacillus thermoaerophilus	170	1	1215385
UniRef100_UPI001C4B3BEF	Cluster: stage V sporulation protein AC	UPI001C4B3BEF	Paenibacillus sp. 79R4	154	1	2212847
UniRef100_A0A7M2B8Q3	Cluster: Stage V sporulation protein AC	A0A7M2B8Q3	Brevibacterium sp. JNUCC-42	160	1	2777985
UniRef100_UPI000A27B262	Cluster: stage V sporulation protein AC	UPI000A27B262	Paenibacillaceae	160	1	186822
UniRef100_UPI001482003B	Cluster: stage V sporulation protein AC	UPI001482003B	Paenibacillus sp. 7516	168	1	2022549
UniRef100_UPI000839B411	Cluster: stage V sporulation protein AC	UPI000839B411	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_A0A4S4BX53	Cluster: Stage V sporulation protein AC	A0A4S4BX53	Metabacillus sediminilitoris	159	1	2567941
UniRef100_UPI000FD8DF5F	Cluster: stage V sporulation protein AC	UPI000FD8DF5F	Paenibacillus illinoisensis	168	1	59845
UniRef100_A0A502IVA7	Cluster: Stage V sporulation protein AC	A0A502IVA7	Brevibacillus laterosporus (Bacillus laterosporus)	160	1	1465
UniRef100_A0A4Q2LQA5	Cluster: Stage V sporulation protein AC	A0A4Q2LQA5	Paenibacillaceae bacterium	161	1	2003592
UniRef100_UPI0011A9E6D5	Cluster: stage V sporulation protein AC	UPI0011A9E6D5	Paenibacillus xylanexedens	168	1	528191
UniRef100_UPI000986FB20	Cluster: stage V sporulation protein AC	UPI000986FB20	Virgibacillus proomii	159	1	84407
UniRef100_A0A268SFT3	Cluster: Stage V sporulation protein AC	A0A268SFT3	Paenibacillus sp. 7516	169	1	2022549
UniRef100_A0A1M6MC26	Cluster: Stage V sporulation protein AC	A0A1M6MC26	Tepidibacter formicigenes DSM 15518	159	1	1123349
UniRef100_A0A2Z4MH55	Cluster: Stage V sporulation protein AC	A0A2Z4MH55	Brevibacillus brevis (Bacillus brevis)	161	1	1393
UniRef100_A0A385T5C5	Cluster: Stage V sporulation protein AC	A0A385T5C5	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_A0A1I1ZLZ5	Cluster: Stage V sporulation protein AC	A0A1I1ZLZ5	Alteribacillus iranensis	156	1	930128
UniRef100_UPI0007AB7882	Cluster: stage V sporulation protein AC	UPI0007AB7882	Brevibacillus parabrevis	161	1	54914
UniRef100_UPI000824FC44	Cluster: stage V sporulation protein AC	UPI000824FC44	Metabacillus fastidiosus	159	1	1458
UniRef100_A0A1V0UQA2	Cluster: Stage V sporulation protein AC	A0A1V0UQA2; A0A2L1U3C9	Paenibacillus larvae subsp. pulvifaciens; Paenibacillus larvae subsp. larvae	158	2	1477; 147375
UniRef100_A0A1S2EYG2	Cluster: Stage V sporulation protein AC	A0A1S2EYG2	Paenibacillus sp. LC231	162	1	1120679
UniRef100_A0A1E5L6D7	Cluster: Stage V sporulation protein AC	A0A1E5L6D7	Desulfuribacillus stibiiarsenatis	148	1	1390249
UniRef100_UPI000837091C	Cluster: stage V sporulation protein AC	UPI000837091C	Bacillus sp. FJAT-29814	159	1	1729688
UniRef100_UPI001C60CB1C	Cluster: stage V sporulation protein AC	UPI001C60CB1C	Cohnella sp. CFH 77786	164	1	2662265
UniRef100_A0A542RM70	Cluster: Stage V sporulation protein AC	A0A542RM70	Brevibacillus sp. AG162	161	1	2572910
UniRef100_UPI001BC9E15E	Cluster: stage V sporulation protein AC	UPI001BC9E15E	Lederbergia citri	158	1	2833580
UniRef100_A0A220MEC9	Cluster: Stage V sporulation protein AC	A0A220MEC9	Brevibacillus formosus	161	1	54913
UniRef100_UPI0005CBAD99	Cluster: stage V sporulation protein AC	UPI0005CBAD99	Risungbinella massiliensis	162	1	1329796
UniRef100_A0A7X7XXA5	Cluster: Stage V sporulation protein AC	A0A7X7XXA5	Clostridium sp.	159	1	1506
UniRef100_A0A259T1T5	Cluster: Stage V sporulation protein AC	A0A259T1T5	Paenibacillus sp. XY044	167	1	2026089
UniRef100_A0A1I1AB17	Cluster: Stage V sporulation protein AC	A0A1I1AB17	Lentibacillus halodurans	159	1	237679
UniRef100_A0A2S5H216	Cluster: Stage V sporulation protein AC	A0A2S5H216	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_A0A2S5HS21	Cluster: Stage V sporulation protein AC	A0A2S5HS21	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_A0A291BIW3	Cluster: Stage V sporulation protein AC	A0A291BIW3	Brevibacillus brevis X23	161	1	1200792
UniRef100_UPI001C587E0A	Cluster: stage V sporulation protein AC	UPI001C587E0A	Bacillus sp. MCCB 382	158	1	2860197
UniRef100_A0A327Y2W6	Cluster: Stage V sporulation protein AC	A0A327Y2W6	Anoxybacillus vitaminiphilus	160	1	581036
UniRef100_A0A7X3CR95	Cluster: Stage V sporulation protein AC	A0A7X3CR95	Paenibacillus validus	159	1	44253
UniRef100_UPI00193B5E6D	Cluster: stage V sporulation protein AC	UPI00193B5E6D	Clostridium sp. D2Q-14	159	1	2683194
UniRef100_A0A417YC84	Cluster: Stage V sporulation protein AC	A0A417YC84	Oceanobacillus profundus	159	1	372463
UniRef100_UPI001CFCFEC3	Cluster: stage V sporulation protein AC	UPI001CFCFEC3	Rossellomorea aquimaris	156	1	189382
UniRef100_A0A150MF87	Cluster: Stage V sporulation protein AC	A0A150MF87; A0A6G9J2B7; A0A854GSH3; A0A226QNT8	Parageobacillus toebii; Parageobacillus toebii NBRC 107807; Geobacillus sp. 44C; Parageobacillus galactosidasius	159	4	153151; 1223503; 1963024; 883812
UniRef100_A0A6M1U6X4	Cluster: Stage V sporulation protein AC	A0A6M1U6X4	Brevibacillus sp. SYP-B805	158	1	1578199
UniRef100_J2GT32	Cluster: Stage V sporulation protein AC	J2GT32	Brevibacillus sp. BC25	161	1	1144308
UniRef100_A0A1I2K724	Cluster: Stage V sporulation protein AC	A0A1I2K724	Halobacillus alkaliphilus	152	1	396056
UniRef100_A0A1D9FLJ3	Cluster: Stage V sporulation protein AC	A0A1D9FLJ3	Clostridium formicaceticum	159	1	1497
UniRef100_UPI001BC9B94C	Cluster: stage V sporulation protein AC	UPI001BC9B94C	Lederbergia citrisecundus	158	1	2833583
UniRef100_A0A7C7ED48	Cluster: Stage V sporulation protein AC	A0A7C7ED48	Clostridiales bacterium	156	1	1898207
UniRef100_UPI001665F4B8	Cluster: stage V sporulation protein AC	UPI001665F4B8	Paenibacillus segetis	166	1	1325360
UniRef100_A0A7Y6BZR9	Cluster: Stage V sporulation protein AC	A0A7Y6BZR9	Paenibacillus xylanilyticus	168	1	248903
UniRef100_A0A845FC94	Cluster: Stage V sporulation protein AC	A0A845FC94	Halobacillus litoralis	168	1	45668
UniRef100_A0A0M1P1H4	Cluster: Stage V sporulation protein AC	A0A0M1P1H4	Paenibacillus solani	162	1	1705565
UniRef100_A0A060M3K6	Cluster: Stage V sporulation protein AC	A0A060M3K6; A0A3N9QNC3; A0A4Y7WPK8	Alkalihalobacillus lehensis G1; Bacillus sp. C1-1; Alkalihalobacillus lehensis	156	3	1246626; 2491024; 300825
UniRef100_F6B2K7	Cluster: Stage V sporulation protein AC	F6B2K7	Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) (Desulfotomaculum carboxydivorans)	159	1	868595
UniRef100_UPI000262606A	Cluster: stage V sporulation protein AC	UPI000262606A	Lentibacillus jeotgali	159	1	558169
UniRef100_A0A653P223	Cluster: Mechanosensitive channel stage V sporulation protein AC	A0A653P223	Bacillus sp. 349Y	156	1	2653176
UniRef100_A0A1S6IVV0	Cluster: Stage V sporulation protein AC	A0A1S6IVV0	Desulfotomaculum ferrireducens	159	1	1833852
UniRef100_UPI00110EDFB1	Cluster: stage V sporulation protein AC	UPI00110EDFB1	Bacillus sp. BHET2	156	1	2583818
UniRef100_UPI00187B58AA	Cluster: stage V sporulation protein AC	UPI00187B58AA	Paenibacillus	168	1	44249
UniRef100_UPI00073E7EEF	Cluster: stage V sporulation protein AC	UPI00073E7EEF	Paenibacillus senegalimassiliensis	168	1	1737426
UniRef100_UPI000B85887D	Cluster: stage V sporulation protein AC	UPI000B85887D	Paenibacillus sp. OK076	210	1	1884379
UniRef100_A0A2A9BYQ0	Cluster: Stage V sporulation protein AC	A0A2A9BYQ0	Bacillus sp. es.034	156	1	1761763
UniRef100_UPI000D7110A9	Cluster: stage V sporulation protein AC	UPI000D7110A9	Paenibacillus	210	1	44249
UniRef100_UPI00191826F9	Cluster: stage V sporulation protein AC	UPI00191826F9	Rossellomorea arthrocnemi	156	1	2769542
UniRef100_A0A1I1N8E8	Cluster: Stage V sporulation protein AC	A0A1I1N8E8	Clostridium uliginosum	159	1	119641
UniRef100_A0A3D8VL92	Cluster: Stage V sporulation protein AC	A0A3D8VL92; A0A1H0SWV5	Halobacillus trueperi; Halobacillus aidingensis	152	2	156205; 240303
UniRef100_UPI00039AC60A	Cluster: stage V sporulation protein AC	UPI00039AC60A	Bacillus massiliogorillae	159	1	1243664
UniRef100_R4G725	Cluster: Stage V sporulation protein AC	R4G725; UPI0003A33E61	Anoxybacillus flavithermus NBRC 109594; Anoxybacillus	161	2	1315967; 150247
UniRef100_A0A846MKD5	Cluster: Stage V sporulation protein AC	A0A846MKD5	Saccharococcus thermophilus	159	1	29396
UniRef100_A0A385NUV1	Cluster: Stage V sporulation protein AC	A0A385NUV1	Bacillus sp. Y1	157	1	352858
UniRef100_UPI001C869A72	Cluster: stage V sporulation protein AC	UPI001C869A72	Alkalihalobacillus sp. TS-13	154	1	2842455
UniRef100_A0A1I0D7L4	Cluster: Stage V sporulation protein AC	A0A1I0D7L4	Oceanobacillus limi	159	1	930131
UniRef100_A0A075R4I1	Cluster: Stage V sporulation protein AC	A0A075R4I1; H0UF85; A0A838X4G2	Brevibacillus laterosporus LMG 15441; Brevibacillus laterosporus GI-9; Brevibacillus halotolerans	161	3	1042163; 1118154; 1507437
UniRef100_UPI000617AA39	Cluster: stage V sporulation protein AC	UPI000617AA39	Domibacillus tundrae	159	1	1587527
UniRef100_A0A023CSE7	Cluster: Stage V sporulation protein AC	A0A023CSE7	Parageobacillus genomosp. 1	159	1	1295642
UniRef100_UPI000C1C1325	Cluster: stage V sporulation protein AC	UPI000C1C1325	Lentibacillus sediminis	159	1	1940529
UniRef100_UPI000E3E5A8B	Cluster: stage V sporulation protein AC	UPI000E3E5A8B	Paraliobacillus sediminis	156	1	1885916
UniRef100_R5X244	Cluster: Stage V sporulation protein AC	R5X244; A0A1C6D7K4; B0A8S8	Clostridium bartlettii CAG:1329; uncultured Clostridium sp.; Intestinibacter bartlettii DSM 16795	159	3	1263063; 59620; 445973
UniRef100_UPI000839CE49	Cluster: stage V sporulation protein AC	UPI000839CE49	Paenibacillus sp. GM2	166	1	1622070
UniRef100_A0A5D0CVE8	Cluster: Stage V sporulation protein AC	A0A5D0CVE8	Paenibacillus faecis	168	1	862114
UniRef100_A0A1V4PBP8	Cluster: Stage V sporulation protein AC	A0A1V4PBP8; A0A4D7Q8T9	Geobacillus sp. LEMMY01; Geobacillus kaustophilus NBRC 102445	159	2	1954237; 1220595
UniRef100_A0A7H8S4J4	Cluster: Stage V sporulation protein AC	A0A7H8S4J4	Lentibacillus sp. CBA3610	159	1	2518176
UniRef100_A0A517I6U2	Cluster: Stage V sporulation protein AC	A0A517I6U2	Brevibacillus brevis (Bacillus brevis)	161	1	1393
UniRef100_UPI000C866CDF	Cluster: stage V sporulation protein AC	UPI000C866CDF	Bacillus sp. Marseille-P3661	159	1	1936234
UniRef100_UPI000FD840E7	Cluster: stage V sporulation protein AC	UPI000FD840E7	Paenibacillus validus	159	1	44253
UniRef100_A0A658JMV4	Cluster: Stage V sporulation protein AC	A0A658JMV4	Butyricicoccus sp. 1XD8-22	159	1	2320083
UniRef100_A0A1G5AWU8	Cluster: Stage V sporulation protein AC	A0A1G5AWU8; UPI000B88495E	Paenibacillus polysaccharolyticus; Paenibacillus	166	2	582692; 44249
UniRef100_A0A2N3LQI1	Cluster: Stage V sporulation protein AC	A0A2N3LQI1	Margalitia camelliae	158	1	1707093
UniRef100_UPI001AE214F5	Cluster: stage V sporulation protein AC	UPI001AE214F5	Paenibacillus shirakamiensis	163	1	1265935
UniRef100_UPI0012FCFB21	Cluster: stage V sporulation protein AC	UPI0012FCFB21	Paenibacillus pabuli	168	1	1472
UniRef100_UPI0018CE18BA	Cluster: stage V sporulation protein AC	UPI0018CE18BA	Brevibacillus laterosporus (Bacillus laterosporus)	162	1	1465
UniRef100_A0A0F7C1L5	Cluster: Stage V sporulation protein AC	A0A0F7C1L5	Brevibacillus laterosporus (Bacillus laterosporus)	157	1	1465
UniRef100_UPI001C0FFE9A	Cluster: stage V sporulation protein AC	UPI001C0FFE9A	Virgibacillus proomii	159	1	84407
UniRef100_A0A7X8XD05	Cluster: Stage V sporulation protein AC	A0A7X8XD05	Clostridia bacterium	160	1	2044939
UniRef100_UPI0012E1862D	Cluster: stage V sporulation protein AC	UPI0012E1862D	Oceanobacillus salinisoli	159	1	2678611
UniRef100_A0A366DWQ9	Cluster: Stage V sporulation protein AC	A0A366DWQ9	Paraliobacillus ryukyuensis	155	1	200904
UniRef100_A0A7W4Q7D4	Cluster: Stage V sporulation protein AC	A0A7W4Q7D4	Bacillus sp. APMAM	158	1	2761103
UniRef100_UPI0002E03621	Cluster: stage V sporulation protein AC	UPI0002E03621; UPI001F1EAB80	Niallia circulans (Bacillus circulans)	160	2	1397
UniRef100_UPI00195893EC	Cluster: stage V sporulation protein AC	UPI00195893EC	Bacillus ectoiniformans	153	1	1494429
UniRef100_A0A285D2W0	Cluster: Stage V sporulation protein AC	A0A285D2W0	Bacillus oleivorans	158	1	1448271
UniRef100_UPI000686F35B	Cluster: stage V sporulation protein AC	UPI000686F35B	Paenibacillus pinihumi	149	1	669462
UniRef100_A0A6F8TNZ4	Cluster: Stage V sporulation protein AC	A0A6F8TNZ4	Bacillus sp. KH172YL63	156	1	2709784
UniRef100_UPI001CBB9CBD	Cluster: stage V sporulation protein AC	UPI001CBB9CBD	Bacillus sp. BY2G20	159	1	2874282
UniRef100_UPI0018CCD51F	Cluster: stage V sporulation protein AC	UPI0018CCD51F	Fictibacillus sp. 7GRE50	158	1	2745878
UniRef100_A0A8G0HV13	Cluster: Stage V sporulation protein AC	A0A8G0HV13	Paenibacillus sp. sptzw28	155	1	715179
UniRef100_A0A2A8V909	Cluster: Stage V sporulation protein AC	A0A2A8V909	Bacillus sp. AFS015802	156	1	2033486
UniRef100_UPI000B9C5741	Cluster: stage V sporulation protein AC	UPI000B9C5741	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_UPI000E2FA384	Cluster: stage V sporulation protein AC	UPI000E2FA384	Brevibacillus	161	1	55080
UniRef100_UPI001BE8C8B1	Cluster: stage V sporulation protein AC	UPI001BE8C8B1	Bacillus sp. ISL-7	159	1	2819136
UniRef100_A0A3M8D1L8	Cluster: Stage V sporulation protein AC	A0A3M8D1L8	Brevibacillus fluminis	159	1	511487
UniRef100_A0A2S1AEU5	Cluster: Stage V sporulation protein AC	A0A2S1AEU5; A7GS92	Bacillus cytotoxicus; Bacillus cytotoxicus (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)	150	2	580165; 315749
UniRef100_UPI001CD51AC0	Cluster: stage V sporulation protein AC	UPI001CD51AC0	Alkalihalobacillus sp. YIM B00296	149	1	2865834
UniRef100_UPI0005A67019	Cluster: stage V sporulation protein AC	UPI0005A67019	Bacillus rubiinfantis	158	1	1499680
UniRef100_A0A7W9YTB1	Cluster: Stage V sporulation protein AC	A0A7W9YTB1	Anoxybacillus tengchongensis	160	1	576944
UniRef100_A0A0K9HZU1	Cluster: Stage V sporulation protein AC	A0A0K9HZU1	Geobacillus stearothermophilus (Bacillus stearothermophilus)	159	1	1422
UniRef100_A0A7W8IRS4	Cluster: Stage V sporulation protein AC	A0A7W8IRS4	Anoxybacillus tepidamans	160	1	265948
UniRef100_UPI00058DFE53	Cluster: stage V sporulation protein AC	UPI00058DFE53	Gracilibacillus halophilus	152	1	470864
UniRef100_UPI00077CD88C	Cluster: stage V sporulation protein AC	UPI00077CD88C	Rossellomorea vietnamensis	156	1	218284
UniRef100_UPI000BB94675	Cluster: stage V sporulation protein AC	UPI000BB94675	Bacillus sp. FJAT-44876	153	1	2011013
UniRef100_A0A221MEA8	Cluster: Stage V sporulation protein AC	A0A221MEA8	Virgibacillus necropolis	159	1	163877
UniRef100_A0A7C7E494	Cluster: Stage V sporulation protein AC	A0A7C7E494	Thermoanaerobacterales bacterium	149	1	2304039
UniRef100_UPI001CA985A4	Cluster: stage V sporulation protein AC	UPI001CA985A4	Paenibacillus	166	1	44249
UniRef100_UPI00166A487F	Cluster: stage V sporulation protein AC	UPI00166A487F	Paenibacillus nasutitermitis	163	1	1652958
UniRef100_A0A197ZYG9	Cluster: Stage V sporulation protein AC	A0A197ZYG9	Paenibacillus oryzisoli	156	1	1850517
UniRef100_A0A352NF63	Cluster: Stage V sporulation protein AC	A0A352NF63	Pelotomaculum sp.	159	1	2053590
UniRef100_A0A3D8Z0F0	Cluster: Stage V sporulation protein AC	A0A3D8Z0F0	Sporosarcina sp. BI001-red	151	1	2282866
UniRef100_A0A4R1RM53	Cluster: Stage V sporulation protein AC	A0A4R1RM53	Hydrogenispora ethanolica	159	1	1082276
UniRef100_A0A0D5NRS0	Cluster: Stage V sporulation protein AC	A0A0D5NRS0; UPI001EE7470C	Paenibacillus beijingensis	151	2	1126833
UniRef100_UPI0009A61FDC	Cluster: stage V sporulation protein AC	UPI0009A61FDC	Paraliobacillus ryukyuensis	155	1	200904
UniRef100_UPI00057E387F	Cluster: stage V sporulation protein AC	UPI00057E387F	Quasibacillus thermotolerans	158	1	1221996
UniRef100_UPI001649FBF9	Cluster: stage V sporulation protein AC	UPI001649FBF9	Paenibacillus xylanexedens	168	1	528191
UniRef100_Q8ERC4	Cluster: Stage V sporulation protein AC	Q8ERC4	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	159	1	221109
UniRef100_UPI0018CF2274	Cluster: stage V sporulation protein AC	UPI0018CF2274	Paenibacillus dendritiformis	170	1	130049
UniRef100_A0A417YKZ9	Cluster: Stage V sporulation protein AC	A0A417YKZ9	Oceanobacillus profundus	159	1	372463
UniRef100_UPI001CFCC3F7	Cluster: stage V sporulation protein AC	UPI001CFCC3F7	Alkalihalobacillus hwajinpoensis	152	1	208199
UniRef100_UPI00046F44E0	Cluster: stage V sporulation protein AC	UPI00046F44E0	Sporosarcina sp. D27	151	1	1382305
UniRef100_A0A1H2XCI2	Cluster: Stage V sporulation protein AC	A0A1H2XCI2	Paenibacillus sp. CF384	155	1	1884382
UniRef100_A0A1X9MI53	Cluster: SpoVA protein	A0A1X9MI53	Alkalihalobacillus krulwichiae	159	1	199441
UniRef100_A0A142CYQ1	Cluster: Stage V sporulation protein AC	A0A142CYQ1; A0A553M1F2; A0A0J0V1J7; A0A223EYI1; L7ZW97	Geobacillus sp. JS12; Geobacillus sp. LEMMJ02; Geobacillus sp. T6; Geobacillus thermocatenulatus; Geobacillus sp. GHH01	159	5	1813182; 2595057; 1659191; 33938; 1233873
UniRef100_A0A0K6GKB7	Cluster: Stage V sporulation protein AC	A0A0K6GKB7	Anoxybacillus suryakundensis	160	1	1325335
UniRef100_A0A7W8JBX0	Cluster: Stage V sporulation protein AC	A0A7W8JBX0	Anoxybacillus mongoliensis	160	1	452565
UniRef100_Q5L1P2	Cluster: Stage V sporulation protein AC	Q5L1P2; A0A1Q5SYW2; A0A7U9ESB9; A0A7U9P707; A0A098L7G6; A0A1C3DA28; A0A2H5KG72; U2Y9C3; A0A4Q1S669; G8MXX4; A0A7H1RV81; S7UB24	Geobacillus kaustophilus (strain HTA426); Geobacillus proteiniphilus; Geobacillus sp. A8; Geobacillus thermopakistaniensis (strain MAS1); Geobacillus thermoleovorans B23; Geobacillus thermoleovorans (Bacillus thermoleovorans); Bacillus caldolyticus; Geobacillus kaustophilus GBlys; Geobacillus sp. PK12; Geobacillus thermoleovorans CCB_US3_UF5	159	12	235909; 860353; 1095383; 1408282; 1406857; 33941; 1394; 1337888; 2508525; 1111068; 213419; 886559
UniRef100_A0A371PNV6	Cluster: Stage V sporulation protein AC	A0A371PNV6	Paenibacillus paeoniae	150	1	2292705
UniRef100_UPI001CFA664D	Cluster: stage V sporulation protein AC	UPI001CFA664D	Bacillus shivajii	159	1	1983719
UniRef100_A0A1V2AB21	Cluster: Stage V sporulation protein AC	A0A1V2AB21	Domibacillus epiphyticus	159	1	1714355
UniRef100_UPI00166C7B53	Cluster: stage V sporulation protein AC	UPI00166C7B53	Oceanobacillus indicireducens	157	1	1004261
UniRef100_UPI0005CDB392	Cluster: stage V sporulation protein AC	UPI0005CDB392	Bacillus alveayuensis	160	1	279215
UniRef100_UPI000CE4F607	Cluster: stage V sporulation protein AC	UPI000CE4F607	Brevibacillus laterosporus (Bacillus laterosporus)	161	1	1465
UniRef100_UPI001AE4C778	Cluster: stage V sporulation protein AC	UPI001AE4C778	Virgibacillus litoralis	159	1	578221
UniRef100_UPI0011F1B829	Cluster: stage V sporulation protein AC	UPI0011F1B829	Oceanobacillus polygoni	159	1	1235259
UniRef100_UPI00037D8C7C	Cluster: stage V sporulation protein AC	UPI00037D8C7C	Terrisporobacter glycolicus	152	1	36841
UniRef100_UPI001B1D4CD6	Cluster: stage V sporulation protein AC	UPI001B1D4CD6	Paenibacillus sp. J53TS2	168	1	2807197
UniRef100_A0A5D4KN77	Cluster: Stage V sporulation protein AC	A0A5D4KN77; A0A5D4U7R4	Rossellomorea vietnamensis; Rossellomorea aquimaris	156	2	218284; 189382
UniRef100_A0A1I2YUK0	Cluster: Stage V sporulation protein AC	A0A1I2YUK0	Desulfallas arcticus DSM 17038	159	1	1121424
UniRef100_UPI001D14696A	Cluster: stage V sporulation protein AC	UPI001D14696A	Alkalihalobacillus sp. TRPH29	159	1	2879466
UniRef100_A0A1H4J1V5	Cluster: Stage V sporulation protein AC	A0A1H4J1V5	Paenibacillus sp. GP183	157	1	1882751
UniRef100_A0A7U6H570	Cluster: Stage V sporulation protein AC	A0A7U6H570; A0A0Q9VQ09	Peribacillus butanolivorans; Bacillus sp. Soil768D1	159	2	421767; 1736405
UniRef100_UPI001A8CFF3B	Cluster: stage V sporulation protein AC	UPI001A8CFF3B	Halobacillus kuroshimensis	152	1	302481
UniRef100_A0A3A6PN55	Cluster: Stage V sporulation protein AC	A0A3A6PN55	Paenibacillus pinisoli	150	1	1276110
UniRef100_A0A845LCC0	Cluster: Stage V sporulation protein AC	A0A845LCC0	Heliomicrobium gestii (Heliobacterium gestii)	159	1	2699
UniRef100_UPI001582B38C	Cluster: stage V sporulation protein AC	UPI001582B38C	Parageobacillus sp. VR-IP	159	1	2742205
UniRef100_A0A6N3CGH1	Cluster: SpoVA protein	A0A6N3CGH1; W1WKU4	Intestinibacter bartlettii; human gut metagenome	159	2	261299; 408170
UniRef100_A0A1G7ZNX7	Cluster: Stage V sporulation protein AC	A0A1G7ZNX7	Alteribacillus persepolensis	155	1	568899
UniRef100_A0A559JKT1	Cluster: Stage V sporulation protein AC	A0A559JKT1	Cohnella terricola	170	1	1289167
UniRef100_A0A5D4NND6	Cluster: Stage V sporulation protein AC	A0A5D4NND6	Rossellomorea vietnamensis	156	1	218284
UniRef100_UPI001CA60EEE	Cluster: stage V sporulation protein AC	UPI001CA60EEE	Crassaminicella profunda	159	1	1286698
UniRef100_UPI0015F50CE8	Cluster: stage V sporulation protein AC	UPI0015F50CE8	Paraliobacillus salinarum	155	1	1158996
UniRef100_A0A2S5H8J4	Cluster: Stage V sporulation protein AC	A0A2S5H8J4	Brevibacillus laterosporus (Bacillus laterosporus)	162	1	1465
UniRef100_N4WD55	Cluster: Sporulation stage V protein AC	N4WD55	Gracilibacillus halophilus YIM-C55.5	151	1	1308866
UniRef100_A0A0J1LB28	Cluster: Stage V sporulation protein AC	A0A0J1LB28	Niallia circulans (Bacillus circulans)	160	1	1397
UniRef100_A0A448FJP1	Cluster: Stage V sporulation protein AC	A0A448FJP1	Bacillus freudenreichii	158	1	1783501
UniRef100_A0A5S5CF89	Cluster: Stage V sporulation protein AC	A0A5S5CF89; UPI0011E7AEE2	Paenibacillus methanolicus	165	2	582686
UniRef100_UPI001C11A681	Cluster: stage V sporulation protein AC	UPI001C11A681	Paenibacillus sp. MSJ-6	156	1	2841508
